Feature,Importance
numeric__duration,0.4155868238911514
numeric__euribor3m,0.09176995527606677
numeric__nr.employed,0.07965784025736025
numeric__emp.var.rate,0.06732667857008369
numeric__cons.conf.idx,0.036269049239318306
numeric__age,0.03495235622717529
numeric__cons.price.idx,0.028490539513265294
numeric__pdays,0.020656124861703
numeric__campaign,0.01656597494371622
categorical__month_may,0.014465756070694079
categorical__contact_telephone,0.014145085504932957
categorical__poutcome_success,0.01381079229641876
categorical__contact_cellular,0.01143760418545727
categorical__poutcome_nonexistent,0.010527923140907882
numeric__previous,0.009327153499930602
categorical__month_oct,0.006390784589268859
categorical__default_no,0.005584008967406768
categorical__job_blue-collar,0.005364466426563236
categorical__education_university.degree,0.00535794815688893
categorical__default_unknown,0.005172183693325706
categorical__day_of_week_mon,0.005116087684535584
categorical__housing_yes,0.004811988308835659
categorical__day_of_week_thu,0.004802555294526265
categorical__housing_no,0.004688124887473115
categorical__day_of_week_fri,0.004683350955009229
categorical__marital_married,0.00460528727054411
categorical__marital_single,0.004549688534429454
categorical__month_mar,0.004524572672453955
categorical__poutcome_failure,0.004311881998636689
categorical__job_admin.,0.004082287385852823
categorical__education_high.school,0.003963021325570657
categorical__day_of_week_tue,0.003915830401816886
categorical__day_of_week_wed,0.0039147418539667266
categorical__month_apr,0.0036710505637336127
categorical__education_basic.9y,0.0035683727092650098
categorical__job_technician,0.0032490893539571354
categorical__loan_no,0.0030254148976947117
categorical__loan_yes,0.002932814724116549
categorical__education_professional.course,0.0028031148930743534
categorical__job_services,0.002697056734331756
categorical__job_retired,0.002478367217097567
categorical__month_jun,0.0024535409400899743
categorical__marital_divorced,0.0023098105712145724
categorical__education_basic.4y,0.00226221253747459
categorical__job_management,0.0018879292598992156
categorical__month_jul,0.0018160470370380006
categorical__job_student,0.001703556459722329
categorical__month_aug,0.0016414678466069048
categorical__month_nov,0.0015072075185219437
categorical__education_basic.6y,0.0013826667028674967
categorical__education_unknown,0.0013088222472690196
categorical__job_entrepreneur,0.0012324807428163121
categorical__job_self-employed,0.0012215944734435683
categorical__month_sep,0.0010555046265636704
categorical__job_housemaid,0.0007802229035062821
categorical__job_unemployed,0.0006772073975120359
categorical__loan_unknown,0.0005311282860473259
categorical__housing_unknown,0.0005040365437928492
categorical__job_unknown,0.00025197901649088526
categorical__month_dec,0.00012967626351829397
categorical__marital_unknown,8.591910114133161e-05
categorical__education_illiterate,3.240545906521531e-06
categorical__default_yes,0.0
